title,genre,price,quantity,inStock,UPC,productType,dateAccessed
A Light in the Attic,Poetry,£51.77,22,yes,a897fe39b1053632,Books,2022-12-30 21:51
Tipping the Velvet,Historical Fiction,£53.74,20,yes,90fa61229261140a,Books,2022-12-30 21:51
Soumission,Fiction,£50.10,20,yes,6957f44c3847a760,Books,2022-12-30 21:51
Sharp Objects,Mystery,£47.82,20,yes,e00eb4fd7b871a48,Books,2022-12-30 21:51
Sapiens: A Brief History of Humankind,History,£54.23,20,yes,4165285e1663650f,Books,2022-12-30 21:51
The Requiem Red,Young Adult,£22.65,19,yes,f77dbf2323deb740,Books,2022-12-30 21:51
The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34,19,yes,2597b5a345f45e1b,Books,2022-12-30 21:51
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,£17.93,19,yes,e72a5dfc7e9267b2,Books,2022-12-30 21:51
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,£22.60,19,yes,e10e1e165dc8be4a,Books,2022-12-30 21:51
The Black Maria,Poetry,£52.15,19,yes,1dfe412b8ac00530,Books,2022-12-30 21:51
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,£13.99,19,yes,0312262ecafa5a40,Books,2022-12-30 21:51
Shakespeare's Sonnets,Poetry,£20.66,19,yes,30a7f60cd76ca58c,Books,2022-12-30 21:51
Set Me Free,Young Adult,£17.46,19,yes,ce6396b0f23f6ecc,Books,2022-12-30 21:51
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,19,yes,3b1c02bac2a429e6,Books,2022-12-30 21:51
Rip it Up and Start Again,Music,£35.02,19,yes,a34ba96d4081e6a4,Books,2022-12-30 21:51
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,£57.25,19,yes,deda3e61b9514b83,Books,2022-12-30 21:51
Olio,Poetry,£23.88,19,yes,feb7cc7701ecf901,Books,2022-12-30 21:51
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,£37.59,19,yes,e30f54cea9b38190,Books,2022-12-30 21:51
Libertarianism for Beginners,Politics,£51.33,19,yes,a18a4f574854aced,Books,2022-12-30 21:51
It's Only the Himalayas,Travel,£45.17,19,yes,a22124811bfa8350,Books,2022-12-30 21:51
In Her Wake,Thriller,£12.84,19,yes,23356462d1320d61,Books,2022-12-30 21:51
